Timestamp,"Power (Wm) - sid = 787470 (Incomer)"
"2018-07-01 03:34:00",466.00
"2018-07-01 03:35:00",438.00
"2018-07-01 03:36:00",455.00
"2018-07-01 03:37:00",451.00
"2018-07-01 03:38:00",562.00
"2018-07-01 03:39:00",568.00
"2018-07-01 03:40:00",574.00
"2018-07-01 03:41:00",544.00
"2018-07-01 03:42:00",474.00
"2018-07-01 03:43:00",457.00
"2018-07-01 03:44:00",451.00
"2018-07-01 03:45:00",453.00
"2018-07-01 03:46:00",451.00
"2018-07-01 03:47:00",455.00
"2018-07-01 03:48:00",461.00
"2018-07-01 03:49:00",534.00
"2018-07-01 03:50:00",527.00
"2018-07-01 03:51:00",481.00
"2018-07-01 03:52:00",488.00
"2018-07-01 03:53:00",487.00
"2018-07-01 03:54:00",487.00
"2018-07-01 03:55:00",488.00
"2018-07-01 03:56:00",486.00
"2018-07-01 03:57:00",440.00
"2018-07-01 03:58:00",438.00
"2018-07-01 03:59:00",426.00
"2018-07-01 04:00:00",473.00
"2018-07-01 04:01:00",426.00
"2018-07-01 04:02:00",426.00
"2018-07-01 04:03:00",436.00
"2018-07-01 04:04:00",439.00
"2018-07-01 04:05:00",439.00
"2018-07-01 04:06:00",440.00
"2018-07-01 04:07:00",425.00
"2018-07-01 04:08:00",428.00
"2018-07-01 04:09:00",429.00
"2018-07-01 04:10:00",430.00
"2018-07-01 04:11:00",428.00
"2018-07-01 04:12:00",435.00
"2018-07-01 04:13:00",437.00
"2018-07-01 04:14:00",436.00
"2018-07-01 04:15:00",427.00
"2018-07-01 04:16:00",424.00
"2018-07-01 04:17:00",427.00
"2018-07-01 04:18:00",427.00
"2018-07-01 04:19:00",431.00
"2018-07-01 04:20:00",430.00
"2018-07-01 04:21:00",436.00
"2018-07-01 04:22:00",433.00
"2018-07-01 04:23:00",423.00
"2018-07-01 04:24:00",424.00
"2018-07-01 04:25:00",425.00
"2018-07-01 04:26:00",422.00
"2018-07-01 04:27:00",425.00
"2018-07-01 04:28:00",433.00
"2018-07-01 04:29:00",435.00
"2018-07-01 04:30:00",431.00
"2018-07-01 04:31:00",426.00
"2018-07-01 04:32:00",416.00
"2018-07-01 04:33:00",411.00
"2018-07-01 04:34:00",423.00
"2018-07-01 04:35:00",431.00
"2018-07-01 04:36:00",436.00
"2018-07-01 04:37:00",439.00
"2018-07-01 04:38:00",428.00
"2018-07-01 04:39:00",427.00
"2018-07-01 04:40:00",426.00
"2018-07-01 04:41:00",456.00
"2018-07-01 04:42:00",423.00
"2018-07-01 04:43:00",423.00
"2018-07-01 04:44:00",436.00
"2018-07-01 04:45:00",443.00
"2018-07-01 04:46:00",435.00
"2018-07-01 04:47:00",423.00
"2018-07-01 04:48:00",411.00
"2018-07-01 04:49:00",415.00
"2018-07-01 04:50:00",416.00
"2018-07-01 04:51:00",407.00
"2018-07-01 04:52:00",404.00
"2018-07-01 04:53:00",388.00
"2018-07-01 04:54:00",384.00
"2018-07-01 04:55:00",383.00
"2018-07-01 04:56:00",385.00
"2018-07-01 04:57:00",371.00
"2018-07-01 04:58:00",376.00
"2018-07-01 04:59:00",364.00
"2018-07-01 05:00:00",373.00
"2018-07-01 05:01:00",368.00
"2018-07-01 05:02:00",365.00
"2018-07-01 05:03:00",358.00
"2018-07-01 05:04:00",365.00
"2018-07-01 05:05:00",391.00
"2018-07-01 05:06:00",394.00
"2018-07-01 05:07:00",400.00
"2018-07-01 05:08:00",410.00
"2018-07-01 05:09:00",421.00
"2018-07-01 05:10:00",466.00
"2018-07-01 05:11:00",470.00
"2018-07-01 05:12:00",449.00
"2018-07-01 05:13:00",463.00
"2018-07-01 05:14:00",450.00
"2018-07-01 05:15:00",459.00
"2018-07-01 05:16:00",482.00
"2018-07-01 05:17:00",456.00
"2018-07-01 05:18:00",400.00
"2018-07-01 05:19:00",391.00
"2018-07-01 05:20:00",390.00
"2018-07-01 05:21:00",391.00
"2018-07-01 05:22:00",389.00
"2018-07-01 05:23:00",394.00
"2018-07-01 05:24:00",395.00
"2018-07-01 05:25:00",396.00
"2018-07-01 05:26:00",388.00
"2018-07-01 05:27:00",386.00
"2018-07-01 05:28:00",386.00
"2018-07-01 05:29:00",379.00
"2018-07-01 05:30:00",376.00
"2018-07-01 05:31:00",380.00
"2018-07-01 05:32:00",380.00
"2018-07-01 05:33:00",386.00
"2018-07-01 05:34:00",380.00
"2018-07-01 05:35:00",369.00
"2018-07-01 05:36:00",355.00
"2018-07-01 05:37:00",314.00
"2018-07-01 05:38:00",310.00
"2018-07-01 05:39:00",335.00
"2018-07-01 05:40:00",317.00
"2018-07-01 05:41:00",323.00
"2018-07-01 05:42:00",308.00
"2018-07-01 05:43:00",312.00
"2018-07-01 05:44:00",310.00
"2018-07-01 05:45:00",308.00
"2018-07-01 05:46:00",878.00
"2018-07-01 05:47:00",315.00
"2018-07-01 05:48:00",362.00
"2018-07-01 05:49:00",369.00
"2018-07-01 05:50:00",373.00
"2018-07-01 05:51:00",371.00
