Last Updated,PV1 Current (A),PV2 Current (A),PV1 Voltage (V),PV2 Voltage (V),Output Current (A),Network Voltage (V),Power Now (W),Exported Power (W),PV1 Input Power (W),PV2 Input Power (W),FAC1 (HZ),Exported energy (kWh),Grid Consumption (kWh),Today's Energy (kWh),Total Energy (kWh)
2018/7/1 11:05:28,0,2.8,0,243.2,2.8,242.2,644,0,0,684,0,0,1.7,1227.7,
2018/7/1 11:10:28,0,2.9,0,244.4,3,243.7,691,0,0,733,49.97,0,0,1.8,1227.8
2018/7/1 11:15:28,0,2.5,0,239.4,2.6,243.5,585,0,0,621,49.96,0,0,1.8,1227.9
2018/7/1 11:20:28,0,3.3,0,242.7,3.3,243.2,760,0,0,806,49.96,0,0,1.9,1227.9
2018/7/1 11:25:28,0,3,0,242.6,3,243.7,687,0,0,732,49.99,0,0,2,1228
2018/7/1 11:30:28,0,2.8,0,239.6,2.8,242.4,648,0,0,686,50.01,0,0,2,1228
2018/7/1 11:35:28,0,6.3,0,248.5,6.2,245.7,1458,0,0,1590,50.02,0,0,2.1,1228.1
2018/7/1 11:40:28,0,3.2,0,237,3.2,244.4,734,0,0,777,50.02,0,0,2.2,1228.2
2018/7/1 11:45:28,0,5.4,0,247.6,5.2,244.3,1171,0,0,1343,50,0,0,2.3,1228.3
2018/7/1 11:50:28,0,5.8,0,226.3,5.2,244.1,1251,0,0,1325,49.99,0,0,2.3,1228.4
2018/7/1 11:55:33,0,7.8,0,231.4,7.1,245.6,1727,0,0,1828,49.99,0,0,2.5,1228.5
2018/7/1 12:00:32,0,4.9,0,226.1,4.4,243.8,1072,0,0,1116,49.99,0,0,2.6,1228.7
2018/7/1 12:05:28,0,2.9,0,232.9,2.8,243.9,651,0,0,686,50,0,0,2.7,1228.7
2018/7/1 12:10:28,0,2.5,0,237.8,2.6,244.1,588,0,0,613,50.01,0,0,2.8,1228.8
2018/7/1 12:15:28,0,4.3,0,231.8,4,244.6,954,0,0,1009,50.01,0,0,2.8,1228.9
2018/7/1 12:20:28,0,6.6,0,228.6,6,246.1,1350,0,0,1526,50.01,0,0,2.9,1229
2018/7/1 12:25:28,0,10.7,0,220.9,9.3,243.9,2252,0,0,2385,50,0,0,3,1229.1
2018/7/1 12:30:29,0,6,0,231.9,5.6,241.5,1279,0,0,1400,50.06,0,0,3.2,1229.2
2018/7/1 12:35:28,0,8.4,0,229.2,7.5,243.9,1874,0,0,1936,50.04,0,0,3.3,1229.3
2018/7/1 12:40:28,0,3.7,0,222.1,3.4,243.4,799,0,0,842,50.04,0,0,3.4,1229.5
2018/7/1 12:45:28,0,3.9,0,223.2,3.6,241.2,832,0,0,875,50.04,0,0,3.5,1229.6
2018/7/1 12:50:29,0,5.5,0,237.1,5.3,242.8,1243,0,0,1327,50.06,0,0,3.6,1229.7
2018/7/1 12:55:28,0,5.6,0,238.9,5.3,245.1,1244,0,0,1342,50.01,0,0,3.7,1229.8
